Species,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24
Streptococcus intermedius,661,374,0,0,7,2263,37,0,15,0,0,128,5,0,124,2,76406,265,24,41891,6,0,1,0
Streptococcus koreensis,4,0,0,0,0,0,2,0,2,0,0,81,2,0,25,10,56,4,51,505,4,0,0,0
Streptococcus lactarius,116,0,0,0,0,0,1,0,26,0,0,1,2,0,0,0,0,5,4,49,0,0,0,0
Streptococcus loxodontisalivarius,9,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,1,0,14,0,0,0,0
Streptococcus lutetiensis,11,0,0,0,5,2,0,0,17,0,0,23,2,0,12,0,19,1,5,20,4,0,0,0
Streptococcus macacae,78,0,0,0,1,1,1,0,9,0,0,34,2,0,4,0,11,5,2,14,12,0,0,0
Streptococcus macedonicus,290,1,0,0,102,3,3,0,131,0,0,46,7,0,4,0,11,25,1,37,1,0,0,0
Streptococcus marmotae,16,0,0,0,1,1,10,0,19,0,0,374,1,1,13,0,24,5,8,31,17,0,0,0
Streptococcus massiliensis,330,1,0,0,0,1,1,0,3,0,0,42,0,0,3,0,50,33,2,47,6,0,0,0
Streptococcus minor,109,0,0,0,0,1,1,0,1,0,0,34,1,0,9,0,12,11,3,15,90,0,0,0
Streptococcus mitis,29,0,0,0,1,0,0,0,179,0,0,47,10,0,2,1,0,6,945,242,12,0,0,0
Streptococcus moroccensis,8,0,0,0,0,0,0,0,3,0,0,31,2,0,0,0,0,1,0,4,48,0,0,0
Streptococcus mutans,158,0,0,0,36,4,4,0,77,0,0,103,3,0,11,3,42,13,2,154,5,0,0,0
Streptococcus oralis,7,7,0,0,6,16,14,0,34,3,0,1271,11,0,23,2,45,17,531,596,285,0,0,0
Streptococcus oricebi,66,0,0,0,0,1,3,0,57,0,0,68,5,0,2,0,9,10,12,42,0,0,0,0
Streptococcus orisasini,11,0,0,0,0,0,0,0,0,0,0,22,0,0,4,0,6,3,0,5,8,0,0,0
Streptococcus orisratti,29,0,0,0,0,0,0,0,8,0,0,17,2,0,5,0,8,0,3,17,17,0,0,0
Streptococcus orisuis,4,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0
Streptococcus panodentis,31,0,0,0,2,4,0,0,29,0,0,96,3,0,6,0,31,5,6,90,9,0,0,0
Streptococcus pantholopis,25,0,0,0,0,0,0,0,0,0,0,40,0,0,3,0,15,2,1,10,55,0,0,0
Streptococcus parauberis,3,0,0,0,0,0,2,0,1,0,0,15,2,0,1,0,32,11,1,5,153,0,0,0
Streptococcus pasteurianus,638,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,6,60,0,26,0,1,0,0
Streptococcus phocae,1,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,4,4,0,0,425,0,0,0
Streptococcus pluranimalium,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,13,0,0,27,1,0,0,0
Streptococcus plurextorum,2,0,0,0,0,1,1,0,0,0,0,5,7,0,3,0,1,7,1,4,390,0,0,0
Streptococcus pneumoniae,84,0,0,0,0,3,3,0,36,0,0,430,3,0,15,0,23,5,8,46,29,0,0,0
Streptococcus porcorum,5,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,29,0,0,35,0,0,0,0
Streptococcus pseudopneumoniae,5,0,0,0,0,0,0,0,0,0,0,2,0,0,25,0,114,1,3,57,3,0,0,0
Streptococcus pyogenes,1,1,0,0,0,1,0,0,14,0,0,14,7,0,0,0,55,8,3,23,100,0,0,0
Streptococcus ratti,176,1,0,0,0,2,7,0,0,0,0,6,1,0,2,0,9,24,0,40,11,0,0,0
Streptococcus rifensis,1,0,0,0,0,0,2,0,9,0,0,1,0,0,0,0,9,1,0,5,14,0,0,0
Streptococcus ruminantium,2,1,0,0,1,3,1,1,0,0,0,3,0,0,30,0,6,0,0,12,0,0,0,0
Streptococcus rupicaprae,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6,1,0,2,11,0,0,0
Streptococcus salivarius,20,0,0,0,372,1,0,2,8363,0,0,105,6975,0,2,199,18,233,11,61550,1,0,0,0
Streptococcus saliviloxodontae,187,1,0,0,13,0,1,1,514,0,0,2,19,0,4,1,7,24,4,298,72,0,0,0
Streptococcus sanguinis,78,0,0,0,7,3,5,0,16,0,0,226211,594,0,181,0,133,6,1016,951,11,0,0,0
Streptococcus sinensis,80,2,0,0,0,12,10,0,5,0,0,0,0,0,63,0,236,10,54,153,0,0,0,0
Streptococcus sobrinus,20,0,0,0,1,0,0,0,2,0,0,8,0,0,1,0,5,2,1,8,44,0,0,0
Streptococcus suis,16,0,0,0,1,6,3,2,88,0,0,61,45,0,13,0,89,6,7,86,1416,0,0,0
Streptococcus tangierensis,45,0,0,0,0,2,0,0,1,0,0,3,0,0,8,0,12,2,0,28,10,0,0,0
Streptococcus thermophilus,20,0,0,0,22,2,5,0,146,0,0,80,15,0,13,1,26,5,3,204,0,0,0,0
Streptococcus thoraltensis,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,2,1,0,0,0
Streptococcus troglodytae,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Streptococcus troglodytidis,724,5,0,0,4,13,22,0,74,0,0,335,6,0,36,0,65,59,4,119,0,0,0,0
Streptococcus urinalis,7,0,0,0,1,1,0,1,16,0,0,6,8,0,2,0,67,1,1,31,90,0,0,0
Streptococcus vestibularis,175,1,0,0,34,1,7,0,129267,0,0,42,36,0,7,8,68,17,4,606,2,0,0,0
Trichococcus palustris,1,0,0,0,0,0,0,7,0,0,0,0,1,1,1,0,0,0,5,4,0,0,1,0
Trichococcus pasteurii,2,0,0,0,0,0,1,119,7,0,0,4,2,51,0,0,0,1,3,3,10,7,2,5
Vagococcus carniphilus,2,0,1,0,0,0,0,28,0,0,0,37,0,11,2,0,2,0,1,4,0,0,0,0
Variovorax boronicumulans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variovorax ginsengisoli,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viridibacillus arvi,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0
Vulcanibacillus modesticaldus,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Weissella koreensis,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weissella paramesenteroides,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Lactobacillus] rogosae,1,0,0,0,2564,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Abyssisolibacter fermentans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
Abyssivirga alkaniphila,0,5,0,0,56,3,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
Acetivibrio alkalicellulosi,0,27,0,0,209,14,4,0,0,0,0,0,0,0,2,7,0,1,1,0,0,0,0,0
Acetivibrio cellulolyticus,0,4,0,0,195,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Acetivibrio ethanolgignens,0,1,0,0,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Acetivibrio straminisolvens,0,142,0,0,382,0,181,0,0,0,0,0,0,0,134,2554,0,13,2,0,0,0,0,0
Acetivibrio thermocellus,0,23,0,0,645,4,31,0,0,0,0,0,0,0,8,119,0,4,3,0,0,0,0,0
Acetoanaerobium pronyense,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acetobacterium wieringae,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Acetobacterium woodii,0,1,0,0,9,0,7,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0
Acidaminobacter hydrogenoformans,0,8,0,0,12,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0
Actinobacillus arthritidis,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Acutalibacter muris,0,27,0,0,3292,108,2,0,0,0,0,0,0,0,0,11,0,1,21,0,0,0,0,0
Agarivorans aestuarii,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agathobaculum butyriciproducens,0,236,0,0,227,56,3,0,0,0,0,0,0,0,0,49,0,1,4,0,0,0,0,0
Akkermansia muciniphila,0,487,0,0,55,0,103,0,0,0,0,0,0,0,0,552,0,0,22,0,0,0,0,0
Algicola sagamiensis,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
